Date,FQAL,FTCS,JQUA,MOAT,PSET,QUAL,SPHQ,XMHQ,XSHQ
26/05/2016,0,204688104,0,705124372,6315065,2412659840,899070705,23357188,0
27/05/2016,0,204688104,0,705124372,6315065,2412659840,899070705,23357188,0
31/05/2016,0,204688104,0,705124372,6315065,2412659840,899070705,23357188,0
01/06/2016,0,211923853,0,677287282,6432518,2380917982,968928745,23525453,0
02/06/2016,0,211923853,0,677287282,6432518,2380917982,968928745,23525453,0
03/06/2016,0,211923853,0,677287282,6432518,2380917982,968928745,23525453,0
06/06/2016,0,211923853,0,677287282,6432518,2380917982,968928745,23525453,0
07/06/2016,0,211923853,0,677287282,6432518,2380917982,968928745,23525453,0
08/06/2016,0,211923853,0,677287282,6432518,2380917982,968928745,23525453,0
09/06/2016,0,211923853,0,677287282,6432518,2380917982,968928745,23525453,0
10/06/2016,0,211923853,0,677287282,6432518,2380917982,968928745,23525453,0
13/06/2016,0,211923853,0,677287282,6432518,2380917982,968928745,23525453,0
14/06/2016,0,211923853,0,677287282,6432518,2380917982,968928745,23525453,0
15/06/2016,0,211923853,0,677287282,6432518,2380917982,968928745,23525453,0
16/06/2016,0,211923853,0,677287282,6432518,2380917982,968928745,23525453,0
17/06/2016,0,211923853,0,677287282,6432518,2380917982,968928745,23525453,0
20/06/2016,0,211923853,0,677287282,6432518,2380917982,968928745,23525453,0
21/06/2016,0,211923853,0,677287282,6432518,2380917982,968928745,23525453,0
22/06/2016,0,211923853,0,677287282,6432518,2380917982,968928745,23525453,0
23/06/2016,0,211923853,0,677287282,6432518,2380917982,968928745,23525453,0
24/06/2016,0,211923853,0,677287282,6432518,2380917982,968928745,23525453,0
27/06/2016,0,211923853,0,677287282,6432518,2380917982,968928745,23525453,0
28/06/2016,0,211923853,0,677287282,6432518,2380917982,968928745,23525453,0
29/06/2016,0,211923853,0,677287282,6432518,2380917982,968928745,23525453,0
30/06/2016,0,211923853,0,677287282,6432518,2380917982,968928745,23525453,0
01/07/2016,0,221136425,0,692710291,6519102,2290329798,995800935,23552313,0
05/07/2016,0,221136425,0,692710291,6519102,2290329798,995800935,23552313,0
06/07/2016,0,221136425,0,692710291,6519102,2290329798,995800935,23552313,0
07/07/2016,0,221136425,0,692710291,6519102,2290329798,995800935,23552313,0
08/07/2016,0,221136425,0,692710291,6519102,2290329798,995800935,23552313,0
11/07/2016,0,221136425,0,692710291,6519102,2290329798,995800935,23552313,0
12/07/2016,0,221136425,0,692710291,6519102,2290329798,995800935,23552313,0
13/07/2016,0,221136425,0,692710291,6519102,2290329798,995800935,23552313,0
14/07/2016,0,221136425,0,692710291,6519102,2290329798,995800935,23552313,0
15/07/2016,0,221136425,0,692710291,6519102,2290329798,995800935,23552313,0
18/07/2016,0,221136425,0,692710291,6519102,2290329798,995800935,23552313,0
19/07/2016,0,221136425,0,692710291,6519102,2290329798,995800935,23552313,0
20/07/2016,0,221136425,0,692710291,6519102,2290329798,995800935,23552313,0
21/07/2016,0,221136425,0,692710291,6519102,2290329798,995800935,23552313,0
22/07/2016,0,221136425,0,692710291,6519102,2290329798,995800935,23552313,0
25/07/2016,0,221136425,0,692710291,6519102,2290329798,995800935,23552313,0
26/07/2016,0,221136425,0,692710291,6519102,2290329798,995800935,23552313,0
27/07/2016,0,221136425,0,692710291,6519102,2290329798,995800935,23552313,0
28/07/2016,0,221136425,0,692710291,6519102,2290329798,995800935,23552313,0
29/07/2016,0,221136425,0,692710291,6519102,2290329798,995800935,23552313,0
01/08/2016,0,241952371,0,731365830,6632189,2672401310,1014353003,24535302,0
02/08/2016,0,241952371,0,731365830,6632189,2672401310,1014353003,24535302,0
03/08/2016,0,241952371,0,731365830,6632189,2672401310,1014353003,24535302,0
04/08/2016,0,241952371,0,731365830,6632189,2672401310,1014353003,24535302,0
05/08/2016,0,241952371,0,731365830,6632189,2672401310,1014353003,24535302,0
08/08/2016,0,241952371,0,731365830,6632189,2672401310,1014353003,24535302,0
09/08/2016,0,241952371,0,731365830,6632189,2672401310,1014353003,24535302,0
10/08/2016,0,241952371,0,731365830,6632189,2672401310,1014353003,24535302,0
11/08/2016,0,241952371,0,731365830,6632189,2672401310,1014353003,24535302,0
12/08/2016,0,241952371,0,731365830,6632189,2672401310,1014353003,24535302,0
15/08/2016,0,241952371,0,731365830,6632189,2672401310,1014353003,24535302,0
16/08/2016,0,241952371,0,731365830,6632189,2672401310,1014353003,24535302,0
17/08/2016,0,241952371,0,731365830,6632189,2672401310,1014353003,24535302,0
18/08/2016,0,241952371,0,731365830,6632189,2672401310,1014353003,24535302,0
19/08/2016,0,241952371,0,731365830,6632189,2672401310,1014353003,24535302,0
22/08/2016,0,241952371,0,731365830,6632189,2672401310,1014353003,24535302,0
23/08/2016,0,241952371,0,731365830,6632189,2672401310,1014353003,24535302,0
24/08/2016,0,241952371,0,731365830,6632189,2672401310,1014353003,24535302,0
25/08/2016,0,241952371,0,731365830,6632189,2672401310,1014353003,24535302,0
26/08/2016,0,241952371,0,731365830,6632189,2672401310,1014353003,24535302,0
29/08/2016,0,241952371,0,731365830,6632189,2672401310,1014353003,24535302,0
30/08/2016,0,241952371,0,731365830,6632189,2672401310,1014353003,24535302,0
31/08/2016,0,241952371,0,731365830,6632189,2672401310,1014353003,24535302,0
01/09/2016,0,243275026,0,745728878,6598900,2667295829,1079886339,24412227,0
02/09/2016,0,243275026,0,745728878,6598900,2667295829,1079886339,24412227,0
06/09/2016,0,243275026,0,745728878,6598900,2667295829,1079886339,24412227,0
07/09/2016,0,243275026,0,745728878,6598900,2667295829,1079886339,24412227,0
08/09/2016,0,243275026,0,745728878,6598900,2667295829,1079886339,24412227,0
09/09/2016,0,243275026,0,745728878,6598900,2667295829,1079886339,24412227,0
12/09/2016,0,243275026,0,745728878,6598900,2667295829,1079886339,24412227,0
13/09/2016,0,243275026,0,745728878,6598900,2667295829,1079886339,24412227,0
14/09/2016,0,243275026,0,745728878,6598900,2667295829,1079886339,24412227,0
15/09/2016,0,243275026,0,745728878,6598900,2667295829,1079886339,24412227,0
16/09/2016,0,243275026,0,745728878,6598900,2667295829,1079886339,24412227,0
19/09/2016,0,243275026,0,745728878,6598900,2667295829,1079886339,24412227,0
20/09/2016,0,243275026,0,745728878,6598900,2667295829,1079886339,24412227,0
21/09/2016,0,243275026,0,745728878,6598900,2667295829,1079886339,24412227,0
22/09/2016,0,243275026,0,745728878,6598900,2667295829,1079886339,24412227,0
23/09/2016,0,243275026,0,745728878,6598900,2667295829,1079886339,24412227,0
26/09/2016,0,243275026,0,745728878,6598900,2667295829,1079886339,24412227,0
27/09/2016,0,243275026,0,745728878,6598900,2667295829,1079886339,24412227,0
28/09/2016,0,243275026,0,745728878,6598900,2667295829,1079886339,24412227,0
29/09/2016,0,243275026,0,745728878,6598900,2667295829,1079886339,24412227,0
30/09/2016,0,243275026,0,745728878,6598900,2667295829,1079886339,24412227,0
03/10/2016,5104367,262840248,0,753357813,6543298,2871630600,1085047935,24464591,0
04/10/2016,5104367,262840248,0,753357813,6543298,2871630600,1085047935,24464591,0
05/10/2016,5104367,262840248,0,753357813,6543298,2871630600,1085047935,24464591,0
06/10/2016,5104367,262840248,0,753357813,6543298,2871630600,1085047935,24464591,0
07/10/2016,5104367,262840248,0,753357813,6543298,2871630600,1085047935,24464591,0
10/10/2016,5104367,262840248,0,753357813,6543298,2871630600,1085047935,24464591,0
11/10/2016,5104367,262840248,0,753357813,6543298,2871630600,1085047935,24464591,0
12/10/2016,5104367,262840248,0,753357813,6543298,2871630600,1085047935,24464591,0
13/10/2016,5104367,262840248,0,753357813,6543298,2871630600,1085047935,24464591,0
14/10/2016,5104367,262840248,0,753357813,6543298,2871630600,1085047935,24464591,0
17/10/2016,5104367,262840248,0,753357813,6543298,2871630600,1085047935,24464591,0
18/10/2016,5104367,262840248,0,753357813,6543298,2871630600,1085047935,24464591,0
19/10/2016,5104367,262840248,0,753357813,6543298,2871630600,1085047935,24464591,0
20/10/2016,5104367,262840248,0,753357813,6543298,2871630600,1085047935,24464591,0
21/10/2016,5104367,262840248,0,753357813,6543298,2871630600,1085047935,24464591,0
24/10/2016,5104367,262840248,0,753357813,6543298,2871630600,1085047935,24464591,0
25/10/2016,5104367,262840248,0,753357813,6543298,2871630600,1085047935,24464591,0
26/10/2016,5104367,262840248,0,753357813,6543298,2871630600,1085047935,24464591,0
27/10/2016,5104367,262840248,0,753357813,6543298,2871630600,1085047935,24464591,0
