Date,EDOW,EQAL,EQWL,EUSA,EWMC,EWSC,GSEW,ISMD,QQEW,QQQE,QQXT,QTEC,RCD,RGI,RHS,RSP,RTM,RYE,RYF,RYH,RYJ,RYT,RYU,UTRN,XNTK,NOBL,ONEY,PEY,QDEF,QDF,QDIV,QDYN,RDIV,RDVY,REGL,RNDV,RNLC,RNMC,RNSC,SDOG,SDVY,SDY,SMDV,SPDV,SPHD,SPYD,TDIV,VSDA,WBIY,XSHD
15/01/2003,412.1844,2554.5337,2017.14252,2017.14252,2554.5337,1594.449,2017.14252,1594.449,295.8835,295.8835,295.8835,3303.32604,193.4502,212.7806,247.0997,2017.14252,87.72155,229.6464,379.77296,330.2806,2554.5337,3303.32604,159.1377,2017.14252,3303.32604,412.1844,729.625,729.625,412.1844,412.1844,412.1844,412.1844,412.1844,412.1844,2554.5337,412.1844,2017.14252,2554.5337,1594.449,412.1844,729.625,412.1844,1594.449,412.1844,412.1844,412.1844,3303.32604,2017.14252,729.625,2604.308
16/01/2003,410.4906,2547.87979,2009.28612,2009.28612,2547.87979,1591.872,2009.28612,1591.872,294.793,294.793,294.793,3238.95435,193.1432,212.8773,250.6871,2009.28612,88.91265,231.8019,376.87142,330.0445,2547.87979,3238.95435,158.723,2009.28612,3238.95435,410.4906,727.2023,727.2023,410.4906,410.4906,410.4906,410.4906,410.4906,410.4906,2547.87979,410.4906,2009.28612,2547.87979,1591.872,410.4906,727.2023,410.4906,1591.872,410.4906,410.4906,410.4906,3238.95435,2009.28612,727.2023,2602.709
17/01/2003,406.2073,2513.11212,1981.74655,1981.74655,2513.11212,1564.542,1981.74655,1564.542,289.8129,289.8129,289.8129,3074.6505,190.926,210.7325,250.1414,1981.74655,88.03066,229.3478,375.40803,329.0818,2513.11212,3074.6505,157.1378,1981.74655,3074.6505,406.2073,719.7404,719.7404,406.2073,406.2073,406.2073,406.2073,406.2073,406.2073,2513.11212,406.2073,1981.74655,2513.11212,1564.542,406.2073,719.7404,406.2073,1564.542,406.2073,406.2073,406.2073,3074.6505,1981.74655,719.7404,2563.205
21/01/2003,399.1774,2474.5071,1951.4046,1951.4046,2474.5071,1544.749,1951.4046,1544.749,285.9428,285.9428,285.9428,3055.8554,186.0507,206.0513,247.5019,1951.4046,86.02584,224.1973,369.32273,326.8444,2474.5071,3055.8554,154.7274,1951.4046,3055.8554,399.1774,708.714,708.714,399.1774,399.1774,399.1774,399.1774,399.1774,399.1774,2474.5071,399.1774,1951.4046,2474.5071,1544.749,399.1774,708.714,399.1774,1544.749,399.1774,399.1774,399.1774,3055.8554,1951.4046,708.714,2533.037
22/01/2003,394.5113,2456.35105,1932.4084,1932.4084,2456.35105,1534.142,1932.4084,1534.142,283.7052,283.7052,283.7052,3037.38977,183.5494,201.7338,245.639,1932.4084,85.6803,222.9453,363.93944,326.4129,2456.35105,3037.38977,153.2716,1932.4084,3037.38977,394.5113,701.1073,701.1073,394.5113,394.5113,394.5113,394.5113,394.5113,394.5113,2456.35105,394.5113,1932.4084,2456.35105,1534.142,394.5113,701.1073,394.5113,1534.142,394.5113,394.5113,394.5113,3037.38977,1932.4084,701.1073,2512.113
23/01/2003,397.1654,2485.03538,1951.49771,1951.49771,2485.03538,1546.883,1951.49771,1546.883,287.3775,287.3775,287.3775,3134.71177,187.0987,204.8235,243.3365,1951.49771,86.4171,223.4914,367.92042,327.9212,2485.03538,3134.71177,155.0187,1951.49771,3134.71177,397.1654,707.9554,707.9554,397.1654,397.1654,397.1654,397.1654,397.1654,397.1654,2485.03538,397.1654,1951.49771,2485.03538,1546.883,397.1654,707.9554,397.1654,1546.883,397.1654,397.1654,397.1654,3134.71177,1951.49771,707.9554,2531.81
24/01/2003,386.2464,2428.8351,1896.26312,1896.26312,2428.8351,1512.164,1896.26312,1512.164,279.0182,279.0182,279.0182,3011.06884,182.5831,199.6835,238.6256,1896.26312,84.79754,218.8692,355.33013,320.0472,2428.8351,3011.06884,151.5721,1896.26312,3011.06884,386.2464,692.3804,692.3804,386.2464,386.2464,386.2464,386.2464,386.2464,386.2464,2428.8351,386.2464,1896.26312,2428.8351,1512.164,386.2464,692.3804,386.2464,1512.164,386.2464,386.2464,386.2464,3011.06884,1896.26312,692.3804,2479.089
27/01/2003,379.6417,2385.62774,1865.25499,1865.25499,2385.62774,1486.019,1865.25499,1486.019,274.6576,274.6576,274.6576,2970.89915,179.3805,197.4036,235.2128,1865.25499,82.38009,212.1718,350.57567,312.9892,2385.62774,2970.89915,146.9758,1865.25499,2970.89915,379.6417,679.3969,679.3969,379.6417,379.6417,379.6417,379.6417,379.6417,379.6417,2385.62774,379.6417,1865.25499,2385.62774,1486.019,379.6417,679.3969,379.6417,1486.019,379.6417,379.6417,379.6417,2970.89915,1865.25499,679.3969,2440.52
28/01/2003,384.2145,2416.04524,1889.26673,1889.26673,2416.04524,1504.584,1889.26673,1504.584,278.4133,278.4133,278.4133,3020.05646,181.4814,199.6495,236.0783,1889.26673,83.55541,216.3483,354.21453,318.89,2416.04524,3020.05646,150.511,1889.26673,3020.05646,384.2145,687.0171,687.0171,384.2145,384.2145,384.2145,384.2145,384.2145,384.2145,2416.04524,384.2145,1889.26673,2416.04524,1504.584,384.2145,687.0171,384.2145,1504.584,384.2145,384.2145,384.2145,3020.05646,1889.26673,687.0171,2468.505
29/01/2003,387.0261,2431.65749,1902.19615,1902.19615,2431.65749,1511.592,1902.19615,1511.592,280.1912,280.1912,280.1912,3065.99253,183.1498,199.7683,233.6503,1902.19615,85.43707,223.4373,355.03061,321.81,2431.65749,3065.99253,150.6888,1902.19615,3065.99253,387.0261,690.4156,690.4156,387.0261,387.0261,387.0261,387.0261,387.0261,387.0261,2431.65749,387.0261,1902.19615,2431.65749,1511.592,387.0261,690.4156,387.0261,1511.592,387.0261,387.0261,387.0261,3065.99253,1902.19615,690.4156,2475.187
30/01/2003,379.122,2391.85281,1860.81431,1860.81431,2391.85281,1482.597,1860.81431,1482.597,273.735,273.735,273.735,2960.45836,178.446,196.0645,229.4396,1860.81431,84.41447,220.3086,347.60358,316.1496,2391.85281,2960.45836,148.7292,1860.81431,2960.45836,379.122,679.8839,679.8839,379.122,379.122,379.122,379.122,379.122,379.122,2391.85281,379.122,1860.81431,2391.85281,1482.597,379.122,679.8839,379.122,1482.597,379.122,379.122,379.122,2960.45836,1860.81431,679.8839,2430.969
31/01/2003,385.0804,2420.30869,1886.00527,1886.00527,2420.30869,1501,1886.00527,1501,276.8631,276.8631,276.8631,2933.32168,180.5088,199.6466,234.8696,1886.00527,85.61524,224.5263,353.29323,321.6526,2420.30869,2933.32168,149.8098,1886.00527,2933.32168,385.0804,688.8071,688.8071,385.0804,385.0804,385.0804,385.0804,385.0804,385.0804,2420.30869,385.0804,1886.00527,2420.30869,1501,385.0804,688.8071,385.0804,1501,385.0804,385.0804,385.0804,2933.32168,1886.00527,688.8071,2464.972
03/02/2003,387.2056,2423.70985,1894.63922,1894.63922,2423.70985,1493.28,1894.63922,1493.28,277.877,277.877,277.877,2951.11684,180.8566,200.6484,235.3302,1894.63922,86.09378,227.027,355.0231,321.441,2423.70985,2951.11684,151.1334,1894.63922,2951.11684,387.2056,690.8025,690.8025,387.2056,387.2056,387.2056,387.2056,387.2056,387.2056,2423.70985,387.2056,1894.63922,2423.70985,1493.28,387.2056,690.8025,387.2056,1493.28,387.2056,387.2056,387.2056,2951.11684,1894.63922,690.8025,2455.3
