Date,Adj Close
31/12/2002,879.8200073
31/01/2003,855.7000122
28/02/2003,841.1500244
31/03/2003,848.1799927
30/04/2003,916.9199829
30/05/2003,963.5900269
30/06/2003,974.5
31/07/2003,990.3099976
29/08/2003,1008.01001
30/09/2003,995.9699707
31/10/2003,1050.709961
28/11/2003,1058.199951
31/12/2003,1111.920044
30/01/2004,1131.130005
27/02/2004,1144.939941
31/03/2004,1126.209961
30/04/2004,1107.300049
31/05/2004,1120.680054
30/06/2004,1140.839966
30/07/2004,1101.719971
31/08/2004,1104.23999
30/09/2004,1114.579956
29/10/2004,1130.199951
30/11/2004,1173.819946
31/12/2004,1211.920044
31/01/2005,1181.27002
28/02/2005,1203.599976
31/03/2005,1180.589966
29/04/2005,1156.849976
31/05/2005,1191.5
30/06/2005,1191.329956
29/07/2005,1234.180054
31/08/2005,1220.329956
30/09/2005,1228.810059
31/10/2005,1207.01001
30/11/2005,1249.47998
30/12/2005,1248.290039
31/01/2006,1280.079956
28/02/2006,1280.660034
31/03/2006,1294.869995
28/04/2006,1310.609985
31/05/2006,1270.089966
30/06/2006,1270.199951
31/07/2006,1276.660034
31/08/2006,1303.819946
29/09/2006,1335.849976
31/10/2006,1377.939941
30/11/2006,1400.630005
29/12/2006,1418.300049
31/01/2007,1438.23999
28/02/2007,1406.819946
30/03/2007,1420.859985
30/04/2007,1482.369995
31/05/2007,1530.619995
29/06/2007,1503.349976
31/07/2007,1455.27002
31/08/2007,1473.98999
28/09/2007,1526.75
31/10/2007,1549.380005
30/11/2007,1481.140015
31/12/2007,1468.359985
31/01/2008,1378.550049
29/02/2008,1330.630005
31/03/2008,1322.699951
30/04/2008,1385.589966
30/05/2008,1400.380005
30/06/2008,1280
31/07/2008,1267.380005
29/08/2008,1282.829956
30/09/2008,1166.359985
31/10/2008,968.75
28/11/2008,896.2399902
31/12/2008,903.25
30/01/2009,825.8800049
27/02/2009,735.0900269
31/03/2009,797.8699951
30/04/2009,872.8099976
29/05/2009,919.1400146
30/06/2009,919.3200073
31/07/2009,987.4799805
31/08/2009,1020.619995
30/09/2009,1057.079956
30/10/2009,1036.189941
30/11/2009,1095.630005
31/12/2009,1115.099976
29/01/2010,1073.869995
26/02/2010,1104.48999
31/03/2010,1169.430054
30/04/2010,1186.689941
31/05/2010,1089.410034
30/06/2010,1030.709961
30/07/2010,1101.599976
31/08/2010,1049.329956
30/09/2010,1141.199951
29/10/2010,1183.26001
30/11/2010,1180.550049
31/12/2010,1257.640015
31/01/2011,1286.119995
28/02/2011,1327.219971
31/03/2011,1325.829956
29/04/2011,1363.609985
31/05/2011,1345.199951
30/06/2011,1320.640015
29/07/2011,1292.280029
31/08/2011,1218.890015
30/09/2011,1131.420044
31/10/2011,1253.300049
30/11/2011,1246.959961
30/12/2011,1257.599976
31/01/2012,1312.410034
29/02/2012,1365.680054
30/03/2012,1408.469971
30/04/2012,1397.910034
31/05/2012,1310.329956
29/06/2012,1362.160034
31/07/2012,1379.319946
31/08/2012,1406.579956
28/09/2012,1440.670044
