Date,CFA,CFO,CSA,CSF,DEF,FDLO,JMIN,LGLV,ONEV,RBUS,SMLV,SMMV,SPLV,SPMV,USMV,XMLV,XRLV,XSLV
11/30/2009,0,0,0,0,16.30833435,0,0,0,0,0,0,0,0,0,0,0,0,0
12/31/2009,0,0,0,0,16.87049484,0,0,0,0,0,0,0,0,0,0,0,0,0
1/29/2010,0,0,0,0,16.58743477,0,0,0,0,0,0,0,0,0,0,0,0,0
2/26/2010,0,0,0,0,16.99989891,0,0,0,0,0,0,0,0,0,0,0,0,0
3/31/2010,0,0,0,0,17.67116165,0,0,0,0,0,0,0,0,0,0,0,0,0
4/30/2010,0,0,0,0,18.02700996,0,0,0,0,0,0,0,0,0,0,0,0,0
5/31/2010,0,0,0,0,16.91902351,0,0,0,0,0,0,0,0,0,0,0,0,0
6/30/2010,0,0,0,0,16.87858582,0,0,0,0,0,0,0,0,0,0,0,0,0
7/30/2010,0,0,0,0,17.74394608,0,0,0,0,0,0,0,0,0,0,0,0,0
8/31/2010,0,0,0,0,17.83290672,0,0,0,0,0,0,0,0,0,0,0,0,0
9/30/2010,0,0,0,0,18.81958199,0,0,0,0,0,0,0,0,0,0,0,0,0
10/29/2010,0,0,0,0,19.36953163,0,0,0,0,0,0,0,0,0,0,0,0,0
11/30/2010,0,0,0,0,19.34526634,0,0,0,0,0,0,0,0,0,0,0,0,0
12/31/2010,0,0,0,0,20.15314484,0,0,0,0,0,0,0,0,0,0,0,0,0
1/31/2011,0,0,0,0,20.31745529,0,0,0,0,0,0,0,0,0,0,0,0,0
2/28/2011,0,0,0,0,20.98293304,0,0,0,0,0,0,0,0,0,0,0,0,0
3/31/2011,0,0,0,0,21.36906815,0,0,0,0,0,0,0,0,0,0,0,0,0
4/29/2011,0,0,0,0,21.96881676,0,0,0,0,0,0,0,0,0,0,0,0,0
5/31/2011,0,0,0,0,22.06740379,0,0,0,0,0,0,0,19.85412216,0,0,0,0,0
