Date,MKT,SMB,HML,MOM,BAB,QMJ
10/04/2003,0.005078779,-0.003261004,7.82E-05,0.002512895,0.001689578,0.001962117
11/04/2003,-0.002858222,0.001312064,-0.000393704,0.001828347,0.001252889,-0.002668785
14/04/2003,0.018206458,-0.004536379,-0.001373945,-0.010757444,-0.005342404,-0.002988299
15/04/2003,0.006300759,-0.000554812,-0.001296748,-0.00362811,-0.002458434,-0.00213279
16/04/2003,-0.010536476,0.006678081,0.002618448,-0.002296349,0.001018331,-0.003098717
17/04/2003,0.015175735,-0.001075343,-0.001809814,-0.013305017,-0.009519717,-0.006704053
21/04/2003,-0.000520092,0.003356068,0.001121518,-0.003610476,0.001192404,-0.005015775
22/04/2003,0.020324335,-0.008746482,-0.0026578,-0.016117387,-0.008488741,-0.009053146
23/04/2003,0.00843268,-0.000910367,8.60E-05,-0.019236255,-0.009259152,-0.011729489
24/04/2003,-0.008427497,0.004286162,0.000343586,0.004030523,0.00132579,0.004666737
25/04/2003,-0.012740663,0.007762666,0.000779984,0.010342864,0.009553761,0.002847016
28/04/2003,0.016903407,-0.00157235,-0.004340025,-0.01659478,-0.009803652,-0.00648764
29/04/2003,0.003218859,-0.000877837,-0.003077604,-0.008146182,-0.00367997,-0.001872457
30/04/2003,0.000628101,0.006611914,0.002415732,-0.004128214,0.000208493,-0.006441136
01/05/2003,0.000152491,0.004244747,-0.002238654,-0.00013175,0.004336806,-0.000122862
02/05/2003,0.015446843,0.003840288,-0.004433173,-0.013008926,-0.013946351,-0.004793599
05/05/2003,-0.001131662,0.007692144,0.000437773,-0.007038765,-0.012252761,-0.007905282
06/05/2003,0.008555519,-0.001613245,0.001095163,-0.010443727,0.000359159,-0.003680816
07/05/2003,-0.004866078,0.00288634,0.005055865,0.001739421,0.006988545,0.00103532
08/05/2003,-0.009528315,0.004948166,0.002069743,0.007118474,0.00808474,0.006257141
09/05/2003,0.01359013,0.000614446,-0.002782815,-0.010260379,-0.001304154,-0.004019744
12/05/2003,0.012314262,-0.001065534,-0.000700066,-0.011443051,-0.008111752,-0.00757137
13/05/2003,-0.001863316,0.003805425,0.002658734,-0.003267735,-0.003947427,-0.004148757
14/05/2003,-0.001597168,0.003410696,0.000864514,-0.005180916,-0.004846809,-0.008945469
15/05/2003,0.006964711,-0.000260535,-0.000987867,-0.006341147,-0.006807793,-0.006911604
16/05/2003,-0.00216149,-0.012529276,0.011159038,0.003338275,0.003442449,-0.007852823
19/05/2003,-0.0224449,0.00983837,0.002660416,0.016788351,0.011578641,0.006321139
20/05/2003,-0.000444418,-0.000432132,0.000903554,0.002215198,0.001924764,0.001126783
21/05/2003,0.003985834,-0.002618931,0.001675748,-0.000820296,0.00311803,-0.001913683
22/05/2003,0.009264239,-0.002471493,-0.001782499,-0.007763844,-0.010814287,-0.007711212
23/05/2003,0.002729371,0.001925214,0.004713235,-0.006349835,0.003453395,-0.006622389
27/05/2003,0.018811859,0.003999986,-0.007901639,-0.013740275,-0.018267809,-0.010978987
28/05/2003,0.001886494,0.006601384,-0.005826743,-0.008781801,-0.01044676,0.00212241
29/05/2003,-0.002613219,0.010562448,-0.001515669,-0.00884806,-0.006361153,-0.004489292
30/05/2003,0.015146959,0.00405093,0.000978004,-0.009636578,-0.004333712,-0.003575589
02/06/2003,0.004301919,-0.00230438,0.008169132,-0.008644277,-0.002577718,-0.007305373
03/06/2003,0.00356268,0.001272439,-0.002538053,0.003058854,0.00177537,0.00320321
04/06/2003,0.015434555,0.000620196,0.000334281,-0.008562511,-0.013358335,-0.00847333
05/06/2003,0.005678769,0.008386496,-0.003659534,-0.007138319,-0.01358776,-0.008204942
06/06/2003,-0.003377013,0.000245684,-0.001905131,-0.004603939,0.008326023,0.003895547
09/06/2003,-0.012856863,-0.001692328,0.001818902,0.010769997,0.020973414,0.011170541
10/06/2003,0.00959995,0.001831778,-0.000179583,0.000212645,0.002997414,-0.000431556
11/06/2003,0.013539723,-0.005688011,0.004072599,-0.000211092,0.000353897,-0.00809798
12/06/2003,0.001562917,0.000380033,0.003579017,-0.001120676,-0.006931609,-0.004942751
13/06/2003,-0.010154451,-0.0004989,0.000660833,0.009879357,0.011029819,0.004607048
16/06/2003,0.020730451,-0.0052077,-0.006437207,-0.002916275,-0.002872358,0.001314167
17/06/2003,0.001294587,0.002467172,-0.001497288,-0.001464286,-0.002541824,-0.000891317
18/06/2003,-0.001761489,0.003027948,-0.0019339,-0.005447451,-0.003803122,-0.001343927
19/06/2003,-0.014398316,0.001825686,0.005881517,-6.47E-05,0.007303167,0.004700448
20/06/2003,-8.41E-06,-0.000813563,0.000744048,-0.002082997,0.003724897,0.001068124
23/06/2003,-0.014831007,-0.004197188,0.003561032,0.009569764,0.009651543,0.007649337
24/06/2003,0.001950809,0.00058055,0.001070199,0.000293973,0.00362122,0.000868978
25/06/2003,-0.005308,0.009183245,0.00139335,0.000712198,-0.000322453,-0.003793073
26/06/2003,0.010646812,0.000969084,-0.003827234,-0.001791102,-0.008578204,-0.003495791
27/06/2003,-0.00770096,0.00762732,0.00180212,0.0001194,0.004669012,0.000876958
30/06/2003,-0.00142922,0.000482778,0.00357167,-0.00189533,-0.000884989,-0.001705039
01/07/2003,0.006922303,-0.000487935,-0.002658705,0.001205528,0.001554946,0.00249187
02/07/2003,0.012707243,0.009041399,0.000377928,0.001384237,-0.000607059,-0.005523123
03/07/2003,-0.006770754,0.002584815,-0.000219802,0.003764174,0.003489668,0.001037893
07/07/2003,0.018026505,-0.000148104,-0.0005392,0.002242142,-0.013310307,-0.007401807
08/07/2003,0.004648366,0.011830471,-0.001406941,-0.000942376,-0.010108882,-0.004687599
09/07/2003,-0.003226941,0.010811968,0.003910889,0.000505009,-0.005977583,-0.009658063
10/07/2003,-0.013314362,0.002333795,-0.003635743,0.000602345,0.005235114,0.007103111
11/07/2003,0.00910305,0.001052138,-0.00090245,-0.001663641,-0.000371946,-0.004405574
14/07/2003,0.007262912,0.003600043,0.00260169,0.005189416,-0.00965096,-0.009409406
15/07/2003,-0.004270572,0.000506596,-0.000631389,-0.003961696,0.001497518,0.001025922
16/07/2003,-0.006118771,0.001904427,-0.005180472,-0.00141659,0.00899388,0.00795979
17/07/2003,-0.01440153,-0.011746396,-0.002820309,-0.003743008,0.021186574,0.012778212
18/07/2003,0.010721992,-0.002959851,7.11E-05,-0.000515067,-0.002758686,-0.004956963
21/07/2003,-0.013331908,0.001020438,-0.002325588,0.005533204,0.001776578,0.004595723
22/07/2003,0.009214753,0.001883493,0.002304234,-0.002764406,-0.002016658,-0.007085673
23/07/2003,0.001918422,0.004407814,-0.009149762,0.003730637,8.99E-05,0.003543526
