Date,RF
30/09/2020,9.16667E-05
30/10/2020,8.33333E-05
30/11/2020,0.000075
31/12/2020,6.66667E-05
29/01/2021,0.000075
26/02/2021,0.00005
31/03/2021,3.33333E-05
30/04/2021,0.000025
31/05/2021,8.33333E-06
30/06/2021,8.33333E-06
30/07/2021,4.16667E-05
31/08/2021,0.00005
30/09/2021,3.33333E-05
29/10/2021,3.33333E-05
30/11/2021,4.16667E-05
31/12/2021,4.16667E-05
