Date,EDOW,EQAL,EQWL,EUSA,EWMC,EWSC,GSEW,ISMD,QQEW,QQQE,QQXT,QTEC,RCD,RGI,RHS,RSP,RTM,RYE,RYF,RYH,RYJ,RYT,RYU,UTRN,XNTK
31/01/2007,0,0,15498012,0,0,0,0,0,26765381,0,0,28112040,33841490,7874013,7501810,2002260628,10709620,7520881,5194179,7994700,0,7435278,8564011,0,185609701
28/02/2007,0,0,15309744,0,0,0,0,0,28584300,0,0,28042040,40429551,7847777,7460876,2084103036,10946789,7464784,5093207,7897258,0,7479129,8878972,0,196419457
30/03/2007,0,0,15485122,0,0,0,0,0,28547425,0,0,27855772,35008000,10623000,7605135,2165987000,9985000,9711000,6300000,9847000,0,7655000,13247000,0,177010368
30/04/2007,0,0,10798477,0,0,0,0,0,18267413,0,0,17722542,56459544,8257714,7862841,2284554890,5674287,8392781,5182171,8515725,0,12952932,9460476,0,185851886
31/05/2007,0,0,11164613,0,0,0,0,0,18769975,0,4229577,18241043,60743186,8730589,7935522,2395664087,5916866,9051322,5309240,31894675,0,13316315,9659242,0,186988159
29/06/2007,0,0,10850019,0,0,0,0,0,18782342,0,4181738,18571417,59078394,8720911,7713768,2373147746,5825684,9129352,5079976,36724797,0,13389859,9136897,0,188810872
31/07/2007,0,0,10620000,0,0,0,0,0,18688240,0,4146289,19665044,47954869,8665997,7417696,2368330489,8525439,8990068,4652723,35410683,0,13002231,8762435,0,192688988
31/08/2007,0,0,10705632,0,0,0,0,0,19205960,0,4293655,19989044,42873805,8626003,7589557,2207900473,8417912,8910775,4669170,35777663,0,13035816,8899494,0,205609662
28/09/2007,0,0,13937819,0,0,0,0,0,22297773,0,2232098,24214296,35490415,8866180,7768047,2220676053,8819274,9598819,7137874,25666571,0,13323052,6040345,0,229190328
31/10/2007,0,0,14259079,0,0,0,0,0,31444613,0,2299569,26246048,28927931,8905247,7902106,2192881905,8913473,10121567,6999820,17382588,0,19312010,6228486,0,247884861
30/11/2007,0,0,13837825,0,0,0,0,0,29192109,0,2186893,23639043,16451404,8630706,7979418,1892243236,8502726,9667833,6486233,17307215,0,17608247,6175795,0,257524588
31/12/2007,0,0,22215409,0,0,0,0,0,30910790,0,2118541,23650043,15551772,8421706,7832325,1684472358,8365202,17130383,6117614,16906504,0,22584771,6111943,0,266255278
31/01/2008,0,0,23142929,0,0,0,0,0,28421188,0,1999204,15176038,23663225,7935060,7289595,1404305638,8013421,15150673,6071994,16456510,0,20353748,5637294,0,241860906
29/02/2008,0,0,22743498,0,0,0,0,0,27172493,0,1887059,14824037,18436451,7803601,7258561,1275854914,7979019,16760571,5514283,21464190,0,20044766,5317937,0,223946630
31/03/2008,0,0,22389193,0,0,0,0,0,23157148,0,1878684,14704037,14700754,13097644,12372740,1274154189,7924915,13131069,5301835,20548659,0,24116280,5294352,0,224692951
30/04/2008,0,0,25922294,0,0,0,0,0,24626804,0,1941837,16336041,7659006,13946704,12567032,1360930060,2754928,14317449,5566142,58280676,0,21209492,5565372,0,237559597
30/05/2008,0,0,26708577,0,0,0,0,0,28158923,0,2015908,17637208,13383096,14528188,12816795,1391532637,2862730,15450742,5394224,59178614,0,22797527,5876185,0,255517937
30/06/2008,0,0,27155023,0,0,0,0,0,25143108,0,3620305,15608039,19705740,7638783,9441882,1252430269,5162455,16136467,4415947,56021743,0,18085808,5681796,0,228870470
31/07/2008,0,0,26979957,0,0,0,0,0,21154315,0,3673788,15000038,6635659,7623098,9693739,1208574818,5233467,13309635,4565125,54269700,0,21985781,5411379,0,257029639
29/08/2008,0,0,30096060,0,0,0,0,0,21334761,0,5524884,17190038,7119018,7859797,9837677,1341804161,5271105,9869605,9480103,55110620,0,22557328,5440984,0,264705742
30/09/2008,0,0,31740402,0,0,0,0,0,20544135,0,6638146,14652033,6568568,6748850,9635775,1096189230,4436287,8018461,8582686,58416652,84239896,11497485,7173437,0,212880399
31/10/2008,0,0,30459730,0,0,0,0,0,16093645,0,5825839,10288026,3722266,7145809,10367839,843416916,5155007,5957551,10705365,48536602,47760188,7495113,4117751,0,153747415
28/11/2008,0,0,34230269,0,0,0,0,0,13114464,0,5810145,9072023,12793540,6714945,9725480,767748281,4773944,5550235,8827833,46645771,35741500,6572862,4181358,0,135504591
31/12/2008,0,0,36589382,0,0,0,0,0,14847787,0,7231846,9416024,13519944,6890064,10003844,806363689,4794498,5222912,8953665,49430800,35642182,6790399,4062902,0,135708918
30/01/2009,0,0,36337018,0,0,0,0,0,14236656,0,5716698,9176023,11851250,6175711,9660003,724829527,4269961,5275403,6988879,35149124,32853084,6621826,6098197,0,114944343
27/02/2009,0,0,32414291,0,0,0,0,0,13535436,0,5330666,8984022,3560319,5248477,8936703,622592648,3821815,4658952,5626654,31587121,28740036,6252127,5398757,0,130383725
31/03/2009,0,0,31278601,0,0,0,0,0,15066099,0,4647640,12880026,4071168,4191432,9315159,674016504,4404186,6397325,6466129,33401782,29885946,7127844,5550105,0,140832425
30/04/2009,0,0,33354918,0,0,0,0,0,19661046,0,5383024,17976030,5360182,11911971,8055827,890080826,5603759,5549014,8909796,37508889,34781159,8245588,5696979,0,174216620
29/05/2009,0,0,36370354,0,0,0,0,0,20391255,0,5563579,21087031,5315319,12074444,8431676,1055419987,18139305,6567267,12078666,40340182,36375803,15408396,5961913,0,181737183
30/06/2009,0,0,36693746,0,0,0,0,0,22943924,0,6347445,21299466,5231892,11945954,8453938,1128597303,26197154,7853738,15348156,41217585,35629298,25600053,8218863,0,197862316
31/07/2009,0,0,37199684,0,0,0,0,0,27682544,0,6143170,28007729,7506577,16807387,9059396,1296288213,38047247,8506514,13735773,77794756,39350085,28062859,8548966,0,208526650
31/08/2009,0,0,37833647,0,0,0,0,0,29410728,0,6347824,30593396,11253452,17670051,9240525,1471302939,43911014,8632234,15685731,93461848,39563527,33088550,8577159,0,220347258
30/09/2009,0,0,39062874,0,0,0,0,0,34434723,0,7732578,37370226,11926412,18550346,9481859,1564621124,43805087,9437435,15042362,98764428,42454977,52095042,8803722,0,234284930
30/10/2009,0,0,38438369,0,0,0,0,0,32651894,0,9675178,42501926,11474293,17889978,9684742,1519145778,41199075,11921762,13994971,73308063,40373538,53968572,8426962,0,226249353
30/11/2009,0,0,40551806,0,0,0,0,0,32551521,0,10205028,66655460,13885541,18971198,9860949,1611631906,35309242,16873530,13528336,98967762,42339020,69246071,8885576,0,241955702
31/12/2009,0,0,41127704,0,0,0,0,0,40366836,0,10578196,86761344,18243458,19517488,9886364,1782316111,34196515,17522769,13773301,68280714,45589608,79934957,11707930,0,256044079
