Date,MSCI US Minimum Volatility,MSCI US,MSCI US Momentum,MSCI US Quality,MSCI US High Dividend Yield,MSCI US Value,MSCI US Small Cap,MSCI US Equal Weight
"Dec 31, 2020",3193.739,3667.922,3507.769,3240.997,2307.026,2823.184,850.189,4485.225
"Jan 29, 2021",3104.555,3630.303,3566.276,3156.482,2272.632,2784.762,881.947,4439.067
"Feb 26, 2021",3088.748,3719.932,3543.555,3225.182,2297.885,2906.907,938.338,4664.033
"Mar 31, 2021",3252.74,3854.966,3498.415,3352.779,2466.738,3097.735,956.786,4857.674
"Apr 30, 2021",3381.629,4061.259,3746.635,3505.451,2522.2,3206.668,991.964,5098.065
"May 31, 2021",3404.836,4074.954,3683.507,3531.817,2573.288,3283.426,990.124,5164.572
"Jun 30, 2021",3461.45,4183.802,3751.371,3700.326,2547.641,3246.231,1003.668,5244.01
"Jul 30, 2021",3578.768,4278.635,3783.258,3829.155,2590.954,3278.251,981.581,5309.337
"Aug 31, 2021",3643.963,4399.11,3937.535,3942.792,2634.303,3336.695,1003.004,5426.664
"Sep 30, 2021",3457.481,4186.849,3797.672,3687.94,2500.831,3209.38,972.837,5191.52
"Oct 29, 2021",3643.382,4475.121,4119.983,3942.065,2590.819,3387.021,1018.327,5486.15
"Nov 30, 2021",3566.693,4424.065,3954.608,3932.813,2545.847,3288.414,973.331,5314.739
"Dec 31, 2021",3802.744,4593.595,3931.368,4085.888,2730.74,3506.952,1004.856,5553.091
"Jan 31, 2022",3574.679,4329.863,3572.491,3779.013,2669.812,3415.955,923.696,5222.916
"Feb 28, 2022",3461.107,4196.992,3473.808,3579.589,2608.463,3345.74,932.005,5151.869
